Gene	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	abs_fc
CMSS1	Q9BQ75	-0.649495523856054	26.92869525434	-3.9411214003704	0.00130210745865934	0.00788079913684457	-1.46498535262766	MAEA_control-MAEA_knockout	0.649495523856054
RUSF1	Q96GQ5	3.57679646944242	22.1390645238861	3.92711004744207	0.00133986384678003	0.00806487909965952	-1.4935597911453	MAEA_control-MAEA_knockout	3.57679646944242
HSF1	Q00613	0.618366555312928	25.7245936194346	3.92541363344088	0.00134450984037135	0.0080729959931691	-1.49701961011273	MAEA_control-MAEA_knockout	0.618366555312928
ITPRID2	P28290	3.54396253360377	23.6505596992025	3.92488489772913	0.00134596123031138	0.0080729959931691	-1.49809796916156	MAEA_control-MAEA_knockout	3.54396253360377
CRNKL1	Q9BZJ0	-4.23002068101899	24.6324332415361	-3.87232984547366	0.00149843837070584	0.00880232379796984	-1.60529977914633	MAEA_control-MAEA_knockout	4.23002068101899
MICAL1	Q8TDZ2	0.959019274752222	25.1136234510307	3.87077206769386	0.00150321560063725	0.00881271427511687	-1.60847770000666	MAEA_control-MAEA_knockout	0.959019274752222
S100A10	P60903	0.910506590115041	31.6539919577594	3.85104518995288	0.0015650620301215	0.0090797170108469	-1.64872232759294	MAEA_control-MAEA_knockout	0.910506590115041
ERAP1	Q9NZ08	-0.587104085066105	26.4611067077822	-3.83578526385267	0.00161466454118099	0.00931692185679483	-1.67985492546118	MAEA_control-MAEA_knockout	0.587104085066105
VTI1A	Q96AJ9	-4.2504190579983	21.6398712584612	-3.8321276349236	0.00162678800064364	0.00937456586862706	-1.68731711296039	MAEA_control-MAEA_knockout	4.2504190579983
DPY19L1	Q2PZI1	1.27257501093844	26.1189483090889	3.80318604458276	0.00172601893799569	0.00982399898128634	-1.74636266549225	MAEA_control-MAEA_knockout	1.27257501093844
MRPL27	Q9P0M9	0.718306367540819	26.2597889375907	3.79324568510352	0.00176149398998417	0.00996781016354209	-1.76664212566665	MAEA_control-MAEA_knockout	0.718306367540819
NCK1	P16333	-0.740502677043345	25.366046075063	-3.7677223594145	0.00185599100402074	0.0103822081116068	-1.81871003723044	MAEA_control-MAEA_knockout	0.740502677043345
PTDSS1	P48651	1.20089770046145	27.2737412848859	3.76104030036527	0.00188156494266255	0.0105052050293002	-1.83234068964555	MAEA_control-MAEA_knockout	1.20089770046145
KDSR	Q06136	-5.19928767167871	23.6454909896606	-3.75211719914902	0.00191627125868001	0.010638150234542	-1.85054213519537	MAEA_control-MAEA_knockout	5.19928767167871
GBA1	P04062	0.648424542309449	26.7342611687047	3.74077725915131	0.00196131136582411	0.0108266358560693	-1.87367219550451	MAEA_control-MAEA_knockout	0.648424542309449
EXOG	Q9Y2C4	-3.12884717384289	21.8765939142276	-3.73960446631655	0.00196602997849079	0.0108381415396473	-1.8760642497028	MAEA_control-MAEA_knockout	3.12884717384289
CCDC25	Q86WR0	0.699288306254779	26.2197832955824	3.73748976294747	0.00197456722227475	0.0108588840734358	-1.88037740034815	MAEA_control-MAEA_knockout	0.699288306254779
PBK	Q96KB5	0.722049935377846	27.3365418097472	3.73514333900743	0.00198408370076684	0.010890772993341	-1.8851630990338	MAEA_control-MAEA_knockout	0.722049935377846
SPOUT1	Q5T280	-0.651045134101675	26.2982197638005	-3.73227829787769	0.00199576628510981	0.0109412315118808	-1.89100645259581	MAEA_control-MAEA_knockout	0.651045134101675
SMDT1	Q9H4I9	-4.76682112346202	21.2556836122409	-3.73134187698871	0.00199959968423613	0.0109514790413979	-1.89291629156409	MAEA_control-MAEA_knockout	4.76682112346202
REPIN1	Q9BWE0	-0.666385094698164	25.1427048200539	-3.717233637694	0.00205826077408723	0.0112158744995593	-1.92168859662002	MAEA_control-MAEA_knockout	0.666385094698164
GTSE1	Q9NYZ3	-5.9506454614915	21.3195677870015	-3.70453498554266	0.00211254284500689	0.0114457623439708	-1.94758341911217	MAEA_control-MAEA_knockout	5.9506454614915
CASP3	P42574	-0.608598366600198	26.0027436159364	-3.69532493056864	0.00215281278690711	0.0116138236779249	-1.96636253493698	MAEA_control-MAEA_knockout	0.608598366600198
PPOX	P50336	0.947454506899472	25.1122858463391	3.6837038220009	0.00220473001856546	0.0118141264653374	-1.99005532834087	MAEA_control-MAEA_knockout	0.947454506899472
DHRS7B	Q6IAN0	4.59352772449787	23.1689939353376	3.67265647721021	0.00225525249452103	0.0120116114677884	-2.01257564218396	MAEA_control-MAEA_knockout	4.59352772449787
