Gene	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast
ACAD9	Q9H845	0.32008522775287	27.5755666792519	5.59702613554625	5.05378676349255e-05	0.000637528244082554	1.73615657609225	RMND5A_control-RMND5A_knockout
NAXE	Q8NCW5	0.722980279876751	26.9802176573872	5.58708349324399	5.14834441007328e-05	0.000645415844161541	1.71722555386301	RMND5A_control-RMND5A_knockout
SERPINB1	P30740	0.795055489288842	26.7478746089666	5.58019215114297	5.21495978922755e-05	0.00065218941090573	1.70409691433881	RMND5A_control-RMND5A_knockout
GFM1	Q96RP9	0.389819508765754	27.5860596069551	5.57641049775936	5.25189499275157e-05	0.000655297979870238	1.69688995884392	RMND5A_control-RMND5A_knockout
NUDCD1	Q96RS6	-0.325549498778152	27.9501187125384	-5.57555028156214	5.26033453446664e-05	0.000655297979870238	1.69525033307918	RMND5A_control-RMND5A_knockout
EMD	P50402	0.365382240074148	29.1848012580537	5.57513073662605	5.26445577820196e-05	0.000655297979870238	1.69445062024617	RMND5A_control-RMND5A_knockout
SRRM2	Q9UQ35	-0.347366355874161	28.851327346567	-5.5636588936374	5.3784539653884e-05	0.000667596800110639	1.67257501134619	RMND5A_control-RMND5A_knockout
ADSL	P30566	-0.249887297087287	28.9939702336459	-5.55830422054764	5.43253896319458e-05	0.000672410597303577	1.66235851423352	RMND5A_control-RMND5A_knockout
IGF2BP3	O00425	0.528869207478859	28.8735555222575	5.55647235177202	5.45117116205822e-05	0.000673767822393356	1.65886255272868	RMND5A_control-RMND5A_knockout
LMAN2L	Q9H0V9	0.957068698086498	26.7358736357574	5.55319854735682	5.48463489756008e-05	0.000676922554729105	1.65261372889168	RMND5A_control-RMND5A_knockout
LARS1	Q9P2J5	-0.196271832214997	28.9162431702615	-5.55247101774204	5.49210038145029e-05	0.000676922554729105	1.65122488440955	RMND5A_control-RMND5A_knockout
PPP1R2	P41236	0.795921275052695	27.5278544284304	5.54656522212417	5.55309395976409e-05	0.000682525730327368	1.63994833019584	RMND5A_control-RMND5A_knockout
AKAP12	Q02952	-0.865503538262502	29.1876432588712	-5.54339945726548	5.58607825930345e-05	0.000685620890261993	1.63390179578742	RMND5A_control-RMND5A_knockout
RRM2	P31350	0.584902502896718	27.743979220473	5.54228740715019	5.59771298892631e-05	0.000686090679870075	1.63177750766135	RMND5A_control-RMND5A_knockout
VAC14	Q08AM6	-0.63338041819723	25.413414631835	-5.53729439842556	5.65026276014492e-05	0.000689691282479108	1.6222377215339	RMND5A_control-RMND5A_knockout
ASCC3	Q8N3C0	0.271913004834182	27.0987757740386	5.5326691690452	5.69939868705259e-05	0.000693716283404683	1.61339783054405	RMND5A_control-RMND5A_knockout
C1QBP	Q07021	0.46701908477954	31.7397159345745	5.52718085538218	5.7582794313531e-05	0.000696346653890005	1.60290490123162	RMND5A_control-RMND5A_knockout
APEH	P13798	0.46581800827952	28.4323134613767	5.51346817200919	5.90817002142861e-05	0.000707799881160988	1.57667157135789	RMND5A_control-RMND5A_knockout
P4HB	P07237	0.282976024996678	31.9385865334155	5.51314455312199	5.91175594870466e-05	0.000707799881160988	1.57605218146078	RMND5A_control-RMND5A_knockout
CCT5	P48643	0.329176329274151	30.9909040294629	5.50860016732533	5.96235019331971e-05	0.000712886170052974	1.56735307891569	RMND5A_control-RMND5A_knockout
CMBL	Q96DG6	0.75700073432203	28.2673370536724	5.49112426825125	6.16113974368042e-05	0.000735653479177493	1.53387579263522	RMND5A_control-RMND5A_knockout
PNPO	Q9NVS9	0.377827838182895	27.1329685513907	5.49039192112556	6.16961886336978e-05	0.000735666357819452	1.53247205923208	RMND5A_control-RMND5A_knockout
ATG9A	Q7Z3C6	0.684259401024402	25.7891093708346	5.48114742965473	6.27769863869439e-05	0.000744554456916276	1.5147468608956	RMND5A_control-RMND5A_knockout
CORO1C	Q9ULV4	-0.6025235354576	30.0686867650094	-5.46857109330362	6.42789466953757e-05	0.00075819296809024	1.49061623104359	RMND5A_control-RMND5A_knockout
